CUSTOMER_ID,PRODUCT_ID,Semana,probabilidad_compra
33074.0,1.0,27,0.3
33074.0,103.0,27,0.55
33074.0,103.0,27,0.55
33074.0,1109.0,27,0.45
33074.0,1109.0,27,0.45
33074.0,1125.0,27,0.44
33074.0,1125.0,27,0.44
33074.0,1139.0,27,0.4
33074.0,1162.0,27,0.37
33074.0,1179.0,27,0.37
33074.0,118.0,27,0.57
33074.0,1180.0,27,0.37
33074.0,1181.0,27,0.37
33074.0,1181.0,27,0.37
33074.0,1181.0,27,0.37
33074.0,1181.0,27,0.37
33074.0,1183.0,27,0.38
33074.0,1186.0,27,0.38
33074.0,1189.0,27,0.38
33074.0,119.0,27,0.58
33074.0,119.0,27,0.58
33074.0,119.0,27,0.58
33074.0,125.0,27,0.62
33074.0,1262.0,27,0.41
33074.0,1266.0,27,0.42
33074.0,127.0,27,0.59
33074.0,127.0,27,0.59
33074.0,1271.0,27,0.43
33074.0,131.0,27,0.46
33074.0,132.0,27,0.45
33074.0,133.0,27,0.44
33074.0,137.0,27,0.43
33074.0,144.0,27,0.44
33074.0,1449.0,27,0.48
33074.0,145.0,27,0.44
33074.0,1475.0,27,0.46
33074.0,1482.0,27,0.46
33074.0,150.0,27,0.43
33074.0,150.0,27,0.43
33074.0,150.0,27,0.43
33074.0,152.0,27,0.42
33074.0,158.0,27,0.46
33074.0,164.0,27,0.46
33074.0,169.0,27,0.46
33074.0,176.0,27,0.46
33074.0,178.0,27,0.47
33074.0,180.0,27,0.45
33074.0,180.0,27,0.45
33074.0,180.0,27,0.45
33074.0,182.0,27,0.46
33074.0,190.0,27,0.45
33074.0,190.0,27,0.45
33074.0,190.0,27,0.45
33074.0,193.0,27,0.46
33074.0,196.0,27,0.49
33074.0,196.0,27,0.49
33074.0,2.0,27,0.3
33074.0,2.0,27,0.3
33074.0,2.0,27,0.3
33074.0,209.0,27,0.5
33074.0,223.0,27,0.49
33074.0,225.0,27,0.47
33074.0,226.0,27,0.48
33074.0,238.0,27,0.46
33074.0,240.0,27,0.47
33074.0,242.0,27,0.47
33074.0,249.0,27,0.48
33074.0,252.0,27,0.49
33074.0,262.0,27,0.49
33074.0,262.0,27,0.49
33074.0,273.0,27,0.52
33074.0,284.0,27,0.44
33074.0,286.0,27,0.42
33074.0,291.0,27,0.43
33074.0,293.0,27,0.43
33074.0,296.0,27,0.48
33074.0,3.0,27,0.32
33074.0,303.0,27,0.44
33074.0,304.0,27,0.44
33074.0,313.0,27,0.46
33074.0,314.0,27,0.46
33074.0,314.0,27,0.46
33074.0,315.0,27,0.49
33074.0,319.0,27,0.48
33074.0,32.0,27,0.42
33074.0,32.0,27,0.42
33074.0,339.0,27,0.49
33074.0,342.0,27,0.5
33074.0,343.0,27,0.51
33074.0,35.0,27,0.45
33074.0,358.0,27,0.53
33074.0,367.0,27,0.51
33074.0,371.0,27,0.52
33074.0,38.0,27,0.46
33074.0,380.0,27,0.5
33074.0,404.0,27,0.54
33074.0,41.0,27,0.49
